,date_time,main_artist,featuring,song,album
140,2018-02-24 11:24:00,Bob Marley,NA,Jah Live,Rastaman Vibration
141,2018-02-24 11:28:00,Bob Marley,NA,Ambush In The Night (Album Version),Survival
142,2018-02-24 11:31:00,Bob Marley,NA,Kaya (Album Version),Kaya
143,2018-02-24 11:35:00,Bob Marley,NA,Turn Your Lights Down Low,Exodus
144,2018-02-24 11:38:00,Bob Marley,NA,Forever Loving Jah (Album Version),Uprising
145,2018-02-24 11:42:00,Bob Marley,NA,Satisfy My Soul (Album Version),Kaya
146,2018-02-24 11:47:00,Bob Marley,NA,Waiting In Vain,Exodus
147,2018-02-24 11:51:00,Bob Marley,NA,Pimper's Paradise (Album Version),Uprising
148,2018-02-24 17:09:00,Claude Debussy Piano Music Players,NA,Gymnopedie No.1,"Clair de lune, Reverie - Debussy: Moon Songs au clair de la lune and Other Classical New Age Piano Music Favorites"
149,2018-02-24 17:13:00,Kevin Kern,NA,Musings,Imagination's Light
150,2018-02-24 17:17:00,Francois-Joel Thiollier,NA,"Preludes, Book 1: No. 8: La fille aux cheveux de lin",Debussy: Piano Favourites
151,2018-02-24 17:19:00,Francois-Joel Thiollier & Maurice Ravel (1875-1937),NA,Pavane pour une infante defunte (version for piano): Pavane pur une infante defunte,Ravel: Piano Favourites
152,2018-02-24 17:25:00,Ludovico Einaudi & Amsterdam Sinfonietta,NA,Elements,Elements
153,2018-02-24 17:31:00,Jon Schmidt,NA,I Will,Winter Serenade
154,2018-02-24 17:32:00,Claude Debussy Piano Music Players,NA,Ode to Joy,"Clair de lune, Reverie - Debussy: Moon Songs au clair de la lune and Other Classical New Age Piano Music Favorites"
155,2018-02-24 17:39:00,Kevin Kern,NA,Safe in Your Embrace,Imagination's Light
156,2018-02-24 17:42:00,Francois-Joel Thiollier & Maurice Ravel (1875-1937),NA,Prelude : Prelude,Ravel: Piano Favourites
157,2018-02-24 17:44:00,Claude Debussy Piano Music Players,NA,Moonlight Sonata,"Clair de lune, Reverie - Debussy: Moon Songs au clair de la lune and Other Classical New Age Piano Music Favorites"
158,2018-02-24 17:49:00,Kevin Kern,NA,Remembering the Light,Imagination's Light
159,2018-02-25 10:47:00,Michael Bublé,NA,I Got It Easy,To Be Loved
160,2018-02-25 10:51:00,Tony Bennett & Michael Bublé,NA,Don't Get Around Much Anymore,Duets II
161,2018-02-25 10:53:00,Michael Bublé,Ivan Lins,Wonderful Tonight (Duet With Ivan Lins),Call Me Irresponsible (Standard Edition)
162,2018-02-25 10:58:00,Michael Bublé,Meghan Trainor,Someday (feat. Meghan Trainor),Nobody But Me (Deluxe Version)
163,2018-02-25 11:01:00,Michael Bublé,NA,Feeling Good,It's Time
164,2018-02-25 19:28:00,The Doobie Brothers,NA,Black Water,What Were Once Vices Are Now Habits
165,2018-02-25 19:32:00,Pure Prairie League,NA,Amie (Remastered 1988),Bustin Out
166,2018-02-25 19:37:00,The Beatles,NA,Here Comes The Sun (Remastered),Abbey Road
167,2018-02-25 19:40:00,"Crosby, Stills & Nash",NA,Dark Star,CSN
168,2018-02-25 19:45:00,Eagles,NA,One Of These Nights,One Of These Nights
169,2018-02-25 19:49:00,Fleetwood Mac,NA,Dreams,Rumours
170,2018-02-26 17:45:00,Enrique Iglesias,Nicole Scherzinger,Heartbeat [feat. Nicole Scherzinger],Euphoria (Standard US/Latin Version)
171,2018-02-26 17:49:00,Enrique Iglesias,Romeo Santos,Loco [feat. Romeo Santos],Sex And Love (Deluxe) [Explicit]
172,2018-02-26 17:53:00,Enrique Iglesias,Marco Antonio Solís,El Perdedor [feat. Marco Antonio Solís],Gracias Por Estar Aquí (Deluxe)
173,2018-02-26 17:56:00,Enrique Iglesias,Flo Rida,There Goes My Baby [feat. Flo Rida],Sex And Love
174,2018-02-26 17:59:00,Enrique Iglesias,India Martinez,Loco [feat. India Martinez],Sex And Love (Deluxe Edition)
175,2018-02-26 18:02:00,Enrique Iglesias & Juan Luis Guerra,NA,Cuando Me Enamoro,Euphoria (Standard US/Latin Version)
176,2018-02-26 18:06:00,Enrique Iglesias,Marco Antonio Solís,El Perdedor [feat. Marco Antonio Solís],Sex And Love (Deluxe) [Explicit]
177,2018-02-26 18:09:00,Enrique Iglesias,NA,Me Cuesta Tanto Olvidarte,Sex And Love [Explicit]
178,2018-02-26 18:12:00,Nicky Jam & Enrique Iglesias,NA,El Perdón,Fénix
179,2018-02-26 18:16:00,Enrique Iglesias,Romeo Santos,Loco [feat. Romeo Santos],Sex And Love
180,2018-02-26 18:20:00,Enrique Iglesias,Kylie Minogue,Beautiful [feat. Kylie Minogue],Sex And Love (Deluxe Edition)
181,2018-02-26 18:23:00,Enrique Iglesias,Descemer Bueno & Gente de Zona,Bailando (Spanish Version) [feat. Descemer Bueno & Gente De Zona],Sex And Love (Deluxe) [Explicit]
182,2018-02-26 18:27:00,Enrique Iglesias,NA,Tu Y Yo,Euphoria (Standard US/Latin Version)
183,2018-02-26 18:31:00,Enrique Iglesias,Yandel & Juan Magan,Noche Y De Dia [feat. Yandel & Juan Magan],Sex And Love [Explicit]
184,2018-02-26 18:35:00,Enrique Iglesias,NA,Turn The Night Up,Sex And Love (Deluxe)
185,2018-02-26 18:38:00,Enrique Iglesias,NA,Me Cuesta Tanto Olvidarte,Sex And Love (Deluxe Edition)
186,2018-02-27 17:42:00,Enrique Iglesias & Usher,NA,Dirty Dancer,Euphoria (Standard US/Latin Version)
187,2018-02-27 17:45:00,Enrique Iglesias,Marco Antonio Solís,El Perdedor [feat. Marco Antonio Solís],Gracias Por Estar Aquí (Deluxe)
188,2018-02-27 17:49:00,Enrique Iglesias,Yandel & Juan Magan,Noche Y De Dia [feat. Yandel & Juan Magan],Sex And Love (Deluxe) [Explicit]
189,2018-02-27 17:52:00,Enrique Iglesias,Pitbull,I'm A Freak [feat. Pitbull] [Explicit],Sex And Love
190,2018-02-27 17:56:00,Enrique Iglesias,Kylie Minogue,Beautiful [feat. Kylie Minogue],Sex And Love (Deluxe Edition)
191,2018-02-27 18:00:00,Enrique Iglesias,NA,Turn The Night Up,Sex And Love (Deluxe)
192,2018-02-27 18:38:00,Movits,NA,Fel Del Av Garden,The Electro Swing Revolution
193,2018-02-27 18:43:00,The Rolling Stones,NA,Gimme Shelter,Let It Bleed
194,2018-02-27 18:48:00,The Rolling Stones,NA,Wild Horses,Sticky Fingers (Remastered)
195,2018-02-27 18:54:00,The Rolling Stones,NA,All Of Your Love,Blue & Lonesome
196,2018-02-27 18:59:00,The Rolling Stones,NA,Start Me Up,Tattoo You (2009 Re-Mastered)
197,2018-02-27 19:02:00,The Rolling Stones,NA,Tumbling Dice [Explicit],Exile On Main Street (2010 Re-Mastered)
198,2018-02-27 19:06:00,The Rolling Stones,NA,Beast Of Burden (Remastered),Some Girls (Deluxe Version)
199,2018-02-27 19:10:00,The Rolling Stones,NA,Love In Vain,Let It Bleed
200,2018-02-27 19:15:00,The Rolling Stones,NA,You Gotta Move (Remastered),Sticky Fingers (Remastered)
201,2018-02-27 19:17:00,The Rolling Stones,NA,Just Your Fool,Blue & Lonesome
202,2018-02-27 19:19:00,The Rolling Stones,NA,Shine A Light,Exile On Main Street (2010 Re-Mastered)
203,2018-02-27 19:24:00,The Rolling Stones,NA,Miss You (Remastered),Some Girls
204,2018-02-27 19:29:00,The Rolling Stones,NA,Midnight Rambler,Let It Bleed
205,2018-03-01 20:31:00,The Doobie Brothers,NA,Black Water,What Were Once Vices Are Now Habits
206,2018-03-01 20:36:00,Pure Prairie League,NA,Amie (Remastered 1988),Bustin Out
207,2018-03-01 20:40:00,The Beatles,NA,Here Comes The Sun (Remastered),Abbey Road
208,2018-03-01 20:43:00,"Crosby, Stills & Nash",NA,Dark Star,CSN
209,2018-03-01 20:48:00,Eagles,NA,One Of These Nights,One Of These Nights
210,2018-03-01 20:53:00,Fleetwood Mac,NA,Dreams,Rumours
211,2018-03-01 20:57:00,America,NA,A Horse with No Name,America
212,2018-03-01 21:01:00,Neil Young,NA,Old Man,Harvest
213,2018-03-01 21:05:00,The Allman Brothers Band,NA,Ramblin' Man,Brothers And Sisters
214,2018-03-01 21:09:00,Yes,NA,"I've Seen All Good People: a. Your Move, b. All Good People (Remastered Version)",The Yes Album (Deluxe Version)
215,2018-03-01 21:16:00,Jethro Tull,NA,Cross Eyed Mary,Aqualung
216,2018-03-01 21:20:00,The Guess Who,NA,Clap For The Wolfman,Greatest Hits
217,2018-03-01 21:25:00,Al Stewart,NA,Year Of The Cat,Year Of The Cat
218,2018-03-01 21:32:00,Gerry Rafferty,NA,Right Down The Line,City To City
219,2018-03-01 21:36:00,Bob Dylan,NA,"Lay, Lady, Lay",Bob Dylan's Greatest Hits Volume II
220,2018-03-01 21:39:00,Gordon Lightfoot,NA,Sundown,Sundown
221,2018-03-01 21:43:00,Bread,NA,Everything I Own,Shining '70s (Best Of '70s Easy Rock) [Clean]
222,2018-03-01 21:46:00,Stephen Stills,NA,Love The One You're With,Stephen Stills
223,2018-03-01 21:49:00,Electric Light Orchestra,NA,Strange Magic,All Over The World: The Very Best Of ELO
224,2018-03-01 21:53:00,Bob Seger & The Silver Bullet Band,NA,Against The Wind,Against The Wind
225,2018-03-01 21:59:00,Warren Zevon,NA,Excitable Boy (2007 Remastered Version),Excitable Boy
226,2018-03-01 22:02:00,Bruce Springsteen,NA,Hungry Heart,Greatest Hits
227,2018-03-01 22:05:00,The Cars,NA,Good Times Roll,The Cars
228,2018-03-03 08:39:00,Bob Marley,NA,Three Little Birds,Exodus
229,2018-03-03 08:42:00,Bob Marley,NA,Is This Love (Album Version),Kaya
230,2018-03-03 08:46:00,Bob Marley,NA,Redemption Song (Album Version),Uprising
231,2018-03-03 08:50:00,Bob Marley,NA,Positive Vibration,Rastaman Vibration
232,2018-03-03 08:53:00,Bob Marley,NA,Lively Up Yourself,Natty Dread (Remastered)
233,2018-03-03 08:59:00,Bob Marley,NA,Punky Reggae Party,Exodus
234,2018-03-03 09:05:00,Bob Marley,NA,One Drop (Album Version),Survival
235,2018-03-03 09:09:00,Bob Marley,NA,Satisfy My Soul (Album Version),Kaya
236,2018-03-03 09:14:00,Bob Marley,NA,Pimper's Paradise (Album Version),Uprising
237,2018-03-03 09:17:00,Bob Marley,NA,Stir It Up (Original Album Version),Catch A Fire (Deluxe Edition)
238,2018-03-03 09:23:00,Bob Marley,NA,"Roots, Rock, Reggae",Rastaman Vibration
239,2018-03-03 09:27:00,Bob Marley,NA,Top Rankin' (Album Version),Survival
240,2018-03-03 09:30:00,Bob Marley,NA,Natty Dread,Natty Dread (Remastered)
241,2018-03-03 09:33:00,Bob Marley,NA,Sun Is Shining (Album Version),Kaya
242,2018-03-03 09:38:00,Bob Marley,NA,Coming In From The Cold (Album Version),Uprising
243,2018-03-03 09:43:00,Bob Marley,NA,Concrete Jungle (Original Album Version),Catch A Fire (Remastered)
244,2018-03-03 09:47:00,Bob Marley,NA,Jah Live,Rastaman Vibration
245,2018-03-03 09:51:00,Bob Marley,NA,No Woman No Cry,Natty Dread (Remastered)
246,2018-03-03 09:55:00,Bob Marley,NA,Easy Skanking,Kaya
247,2018-03-03 09:58:00,Bob Marley,NA,Zimbabwe (Album Version),Survival
248,2018-03-03 11:18:00,Enrique Iglesias,NA,Turn The Night Up,Sex And Love (Deluxe Edition)
249,2018-03-03 11:21:00,Enrique Iglesias,Romeo Santos,Loco [feat. Romeo Santos],Sex And Love
250,2018-03-03 11:25:00,Lady Gaga,NA,Scheiße [Explicit],Born This Way
251,2018-03-03 11:28:00,Tony Bennett & Lady Gaga,NA,Anything Goes,Cheek To Cheek (Deluxe)
252,2018-03-03 11:30:00,Lady Gaga,Colby O'Donis,Just Dance [feat. Colby O'Donis],The Fame
253,2018-03-03 11:34:00,Lady Gaga,R. Kelly,Do What U Want [feat. R. Kelly] [Explicit],Artpop [Explicit]
254,2018-03-03 11:38:00,Lady Gaga,Beyonce,Telephone [feat. Beyoncé],The Fame Monster (Deluxe)
255,2018-03-03 11:42:00,Tony Bennett & Lady Gaga,NA,The Lady is a Tramp,Duets II
256,2018-03-03 11:45:00,Lady Gaga,NA,Marry The Night,Born This Way
257,2018-03-03 11:50:00,Lady Gaga,Florence Welch,Hey Girl [feat. Florence Welch],Joanne [Explicit]
258,2018-03-03 11:54:00,Lady Gaga,NA,Paper Gangsta [Explicit],The Fame
259,2018-03-03 11:58:00,Lady Gaga,NA,Applause,Artpop [Explicit]
260,2018-03-03 12:02:00,Lady Gaga,NA,Teeth [Explicit],The Fame Monster (Deluxe)
261,2018-03-03 18:40:00,Enrique Iglesias,Flo Rida,There Goes My Baby [feat. Flo Rida],Sex And Love (Deluxe Edition)
262,2018-03-03 18:43:00,Enrique Iglesias & Usher,NA,Dirty Dancer,Euphoria (Standard US/Latin Version)
263,2018-03-03 18:47:00,Enrique Iglesias,Romeo Santos,Loco [feat. Romeo Santos],Sex And Love (Deluxe) [Explicit]
264,2018-03-03 18:50:00,Nicky Jam & Enrique Iglesias,NA,El Perdón,Fénix
265,2018-03-03 18:54:00,Enrique Iglesias,Flo Rida,There Goes My Baby [feat. Flo Rida],Sex And Love [Explicit]
266,2018-03-03 18:57:00,Enrique Iglesias,"Sean Paul, Descemer Bueno & Gente de Zona",Bailando (English Version) [feat. Sean Paul & Descemer Bueno & Gente De Zona],Sex And Love
267,2018-03-03 19:01:00,Enrique Iglesias & Akon,NA,One Day At A Time,Euphoria (Standard US/Latin Version)
268,2018-03-03 19:05:00,Enrique Iglesias,Pitbull,Let Me Be Your Lover [feat. Pitbull],Sex And Love (Deluxe Edition)
269,2018-03-03 19:09:00,Enrique Iglesias,India Martinez,Loco [feat. India Martinez],Sex And Love (Deluxe) [Explicit]
270,2018-03-03 19:13:00,Enrique Iglesias,Marco Antonio Solís,El Perdedor [feat. Marco Antonio Solís],Gracias Por Estar Aquí (Deluxe)
271,2018-03-03 19:16:00,Enrique Iglesias,Pitbull,I'm A Freak [feat. Pitbull] [Explicit],Sex And Love
272,2018-03-03 19:19:00,Enrique Iglesias,NA,Me Cuesta Tanto Olvidarte,Sex And Love [Explicit]
273,2018-03-03 19:23:00,Enrique Iglesias,NA,Dile Que,Euphoria (Standard US/Latin Version)
274,2018-03-03 19:27:00,Enrique Iglesias,NA,Only A Woman,Sex And Love (Deluxe Edition)
275,2018-03-03 19:31:00,Enrique Iglesias,NA,Turn The Night Up,Sex And Love (Deluxe)
276,2018-03-03 19:34:00,Enrique Iglesias,NA,Heart Attack,Sex And Love (Deluxe) [Explicit]
277,2018-03-03 19:37:00,Enrique Iglesias,Romeo Santos,Loco [feat. Romeo Santos],Sex And Love
278,2018-03-03 19:41:00,Enrique Iglesias,Pitbull,I Like It [feat. Pitbull],Euphoria (Standard US/Latin Version)
279,2018-03-04 07:31:00,Bob Marley,NA,One Love / People Get Ready,Exodus
280,2018-03-04 07:34:00,Bob Marley,NA,Could You Be Loved (Album Version),Uprising
281,2018-03-04 07:38:00,Bob Marley,NA,Easy Skanking (Album Version),Kaya
282,2018-03-04 07:41:00,Bob Marley,NA,Positive Vibration,Rastaman Vibration
283,2018-03-04 07:44:00,Bob Marley,NA,Lively Up Yourself,Natty Dread (Remastered)
284,2018-03-04 07:50:00,Bob Marley,NA,So Much Trouble In The World (Album Version),Survival
285,2018-03-04 09:58:00,Michael Bublé,NA,You Make Me Feel So Young,To Be Loved
286,2018-03-04 10:01:00,Michael Bublé,Ivan Lins,Wonderful Tonight (Duet With Ivan Lins),Call Me Irresponsible (Standard Edition)
287,2018-03-04 10:05:00,Tony Bennett & Michael Bublé,NA,Don't Get Around Much Anymore,Duets II
288,2018-03-04 10:08:00,Michael Bublé,Nelly Furtado,"Quando, Quando, Quando (with Nelly Furtado)",It's Time
289,2018-03-04 10:13:00,Michael Bublé,Meghan Trainor,Someday (feat. Meghan Trainor),Nobody But Me (Deluxe Version)
290,2018-03-04 10:16:00,Michael Bublé,Naturally 7,Have I Told You Lately That I Love You (with Naturally 7),To Be Loved
291,2018-03-04 10:20:00,Michael Bublé,NA,Come Fly With Me,Michael Bublé
292,2018-03-04 10:23:00,Michael Bublé,NA,Always On My Mind,Call Me Irresponsible (Standard Edition)
293,2018-03-04 10:27:00,Michael Bublé,NA,I've Got You Under My Skin,It's Time
294,2018-03-04 10:31:00,Michael Bublé,NA,Haven't Met You Yet,Crazy Love (Amazon Exclusive Version)
295,2018-03-04 10:35:00,Michael Bublé,NA,Who's Lovin' You,To Be Loved
296,2018-03-04 10:38:00,Michael Bublé,NA,Sway,Michael Bublé
297,2018-03-04 10:41:00,Michael Bublé,NA,Call Me Irresponsible,Call Me Irresponsible (Standard Edition)
298,2018-03-04 10:45:00,Michael Bublé,NA,Home,It's Time
299,2018-03-04 10:48:00,Michael Bublé,NA,Nobody But Me,Nobody But Me (Deluxe Version)
300,2018-03-04 10:51:00,Michael Bublé,NA,Close Your Eyes,To Be Loved
301,2018-03-04 10:54:00,Michael Bublé,NA,Moondance,Michael Bublé
302,2018-03-04 10:59:00,Michael Bublé,NA,Can't Buy Me Love,It's Time
303,2018-03-04 11:02:00,Michael Bublé,NA,I Believe in You,Nobody But Me (Deluxe Version)
304,2018-03-04 11:05:00,Michael Bublé,NA,I Got It Easy,To Be Loved
305,2018-03-04 11:09:00,Michael Bublé,NA,The Way You Look Tonight,Michael Bublé
306,2018-03-04 11:14:00,Michael Bublé,NA,The Best Is Yet To Come,Call Me Irresponsible (Standard Edition)
307,2018-03-04 11:17:00,Michael Bublé,NA,You Don't Know Me,It's Time
308,2018-03-04 11:21:00,Michael Bublé,Bryan Adams,After All (feat. Bryan Adams),To Be Loved
309,2018-03-04 11:25:00,Michael Bublé,NA,Lost,Call Me Irresponsible (Standard Edition)
310,2018-03-04 11:28:00,Michael Bublé,Chris Botti,A Song For You (feat. Chris Botti),It's Time
311,2018-03-04 11:33:00,Michael Bublé,NA,Crazy Little Thing Called Love,Michael Bublé
312,2018-03-04 11:36:00,Michael Bublé,NA,It's A Beautiful Day,To Be Loved
313,2018-03-04 11:39:00,Michael Bublé,NA,Save The Last Dance For Me,It's Time
314,2018-03-04 11:43:00,Michael Bublé,NA,Fever,Michael Bublé
315,2018-03-04 11:47:00,Michael Bublé,NA,You've Got A Friend In Me,To Be Loved
316,2018-03-04 11:50:00,Michael Bublé,NA,Everything,Call Me Irresponsible (Standard Edition)
317,2018-03-04 11:54:00,Michael Bublé,NA,Put Your Head On My Shoulder,Michael Bublé
318,2018-03-04 11:58:00,Michael Bublé,NA,Young At Heart,To Be Loved
319,2018-03-04 12:02:00,Michael Bublé,NA,I've Got The World On A String,Call Me Irresponsible (Standard Edition)
320,2018-03-04 12:05:00,Michael Bublé,NA,Summer Wind,Michael Bublé
321,2018-03-04 12:08:00,Michael Bublé,The Puppini Sisters,Nevertheless (I'm In Love With You) [feat. The Puppini Sisters],To Be Loved
322,2018-03-04 12:11:00,Michael Bublé,NA,You And I,It's Time
323,2018-03-04 12:15:00,Michael Bublé,NA,You'll Never Find Another Love Like Mine,Michael Bublé
324,2018-03-04 12:19:00,Michael Bublé,NA,To Be Loved,To Be Loved
325,2018-03-04 12:23:00,Michael Bublé,NA,It Had Better Be Tonight (Meglio Stasera),Call Me Irresponsible (Standard Edition)
326,2018-03-04 14:14:00,Lady Gaga,NA,Bad Romance [Explicit],The Fame Monster (Deluxe)
327,2018-03-04 14:19:00,Lady Gaga,NA,Alejandro,The Fame Monster (Deluxe)
328,2018-03-04 14:59:00,The Beatles,NA,Let It Be (Remastered),Let It Be
329,2018-03-04 15:03:00,Eagles,NA,Take It Easy,Eagles
330,2018-03-04 15:07:00,Pink Floyd,NA,Comfortably Numb,The Wall
331,2018-03-04 15:13:00,Fleetwood Mac,NA,The Chain,Rumours
332,2018-03-04 20:09:00,Shakira,Wyclef Jean,Hips Don't Lie,Oral Fixation Vol. 2
333,2018-03-06 17:51:00,Enrique Iglesias,India Martinez,Loco [feat. India Martinez],Sex And Love (Deluxe Edition)
334,2018-03-06 17:54:00,Enrique Iglesias,NA,Tu Y Yo,Euphoria (Standard US/Latin Version)
335,2018-03-06 17:58:00,Enrique Iglesias,"Sean Paul, Descemer Bueno & Gente de Zona",Bailando (English Version) [feat. Sean Paul & Descemer Bueno & Gente De Zona],Sex And Love
336,2018-03-06 18:02:00,Nicky Jam & Enrique Iglesias,NA,El Perdón,Fénix
337,2018-03-06 18:06:00,Enrique Iglesias,Romeo Santos,Loco [feat. Romeo Santos],Sex And Love (Deluxe) [Explicit]
338,2018-03-06 18:09:00,Enrique Iglesias,Marco Antonio Solís,El Perdedor [feat. Marco Antonio Solís],Sex And Love [Explicit]
339,2018-03-06 18:12:00,Enrique Iglesias,Wisin & Yandel,No Me Digas Que No [feat. Wisin & Yandel],Euphoria (Standard US/Latin Version)
340,2018-03-06 18:17:00,Enrique Iglesias,Kylie Minogue,Beautiful [feat. Kylie Minogue],Sex And Love (Deluxe Edition)
341,2018-03-06 18:20:00,Enrique Iglesias,Romeo Santos,Loco [feat. Romeo Santos],Sex And Love
342,2018-03-06 18:24:00,Enrique Iglesias,India Martinez,Loco [feat. India Martinez],Sex And Love (Deluxe) [Explicit]
343,2018-03-06 18:27:00,Enrique Iglesias,Pitbull,Let Me Be Your Lover [feat. Pitbull],Sex And Love [Explicit]
344,2018-03-06 18:31:00,Enrique Iglesias,NA,Ayer,Euphoria (Standard US/Latin Version)
345,2018-03-06 18:35:00,Enrique Iglesias,NA,Only A Woman,Sex And Love (Deluxe Edition)
346,2018-03-06 18:39:00,Enrique Iglesias,NA,Turn The Night Up,Sex And Love (Deluxe)
347,2018-03-06 18:42:00,Enrique Iglesias,Pitbull,I'm A Freak [feat. Pitbull] [Explicit],Sex And Love
348,2018-03-06 18:46:00,Enrique Iglesias,Yandel & Juan Magan,Noche Y De Dia [feat. Yandel & Juan Magan],Sex And Love (Deluxe) [Explicit]
349,2018-03-06 18:50:00,Enrique Iglesias,Nicole Scherzinger,Heartbeat [feat. Nicole Scherzinger],Euphoria (Standard US/Latin Version)
350,2018-03-06 18:54:00,Enrique Iglesias,Flo Rida,There Goes My Baby [feat. Flo Rida],Sex And Love (Deluxe Edition)
351,2018-03-06 18:57:00,Enrique Iglesias,NA,Only A Woman,Sex And Love (Deluxe) [Explicit]
352,2018-03-06 19:01:00,Enrique Iglesias & Akon,NA,One Day At A Time,Euphoria (Standard US/Latin Version)
353,2018-03-06 19:05:00,Enrique Iglesias,Yandel & Juan Magan,Noche Y De Dia [feat. Yandel & Juan Magan],Sex And Love
354,2018-03-06 19:09:00,Enrique Iglesias,Kylie Minogue,Beautiful [feat. Kylie Minogue],Sex And Love (Deluxe) [Explicit]
355,2018-03-06 19:12:00,Enrique Iglesias,Pitbull,I Like It [feat. Pitbull],Euphoria (Standard US/Latin Version)
356,2018-03-06 19:16:00,Enrique Iglesias,Flo Rida,There Goes My Baby [feat. Flo Rida],Sex And Love
357,2018-03-06 19:20:00,Enrique Iglesias,NA,You And I,Sex And Love (Deluxe) [Explicit]
358,2018-03-06 19:23:00,Enrique Iglesias,NA,Me Cuesta Tanto Olvidarte,Sex And Love (Deluxe Edition)
359,2018-03-06 19:26:00,Enrique Iglesias,NA,No Me Digas Que No,Euphoria (Standard US/Latin Version)
360,2018-03-06 19:27:00,Yo-Yo Ma & Johann Sebastian Bach,NA,"Unaccompanied Cello Suite No. 1 in G Major, BWV 1007: Unaccompanied Cello Suite No. 1 in G Major, BWV 1007: II. Allemande",Bach: Unaccompanied Cello Suites (Remastered)
361,2018-03-06 19:27:00,The Beatles,NA,Blackbird (Remastered),The Beatles (The White Album)
362,2018-03-06 19:30:00,Lynyrd Skynyrd,NA,Simple Man,(Pronounced 'Leh-'Nérd 'Skin-'Nérd) (Remastered With 5 Bonus Tracks)
363,2018-03-06 19:36:00,Queen,NA,We Will Rock You (Remastered 2011),News Of The World (Deluxe Edition)
364,2018-03-06 19:38:00,Eagles,NA,Hotel California (Remastered),Hotel California
365,2018-03-07 19:57:00,The Beatles,NA,Yellow Submarine (Remastered),Revolver
366,2018-03-07 19:59:00,Heart,NA,Barracuda,The Essential Heart
367,2018-03-07 20:04:00,Styx,NA,The Grand Illusion,The Soundtrack of Summer
368,2018-03-07 20:09:00,Rush,NA,Tom Sawyer (Album Version),Moving Pictures (2011 Remaster)
369,2018-03-07 20:14:00,Queen,NA,Bohemian Rhapsody,A Night At The Opera (Deluxe Remastered Version)
